NormT,undisturbed
9.715721336773369687e-01,2.207944055412802589e-04
9.752663171654053498e-01,2.208379006276821733e-04
9.789605006534737308e-01,2.207908723366597541e-04
9.826546841415421119e-01,2.206997354009392911e-04
9.863488676296104929e-01,2.206896459599654633e-04
9.900430511176788739e-01,2.207200364856257060e-04
9.937372346057472550e-01,2.207381890856150309e-04
9.974314180938155250e-01,2.206357012189287385e-04
1.001125601581883906e+00,2.204754471490043798e-04
1.004819785069952287e+00,2.204645619150972385e-04
1.008513968558020668e+00,2.202529048343500426e-04
1.012208152046089049e+00,2.204051208487812466e-04
1.015902335534157430e+00,2.202298358294419898e-04
1.019596519022225811e+00,2.198685335543921723e-04
1.023290702510294192e+00,2.200170893496775093e-04
1.026984885998362573e+00,2.201057142685932809e-04
1.030679069486430954e+00,2.202332183273359367e-04
1.034373252974499335e+00,2.202332138343773870e-04
1.038067436462567716e+00,2.205228618139609752e-04
1.041761619950636097e+00,2.205321449364057950e-04
1.045455803438704478e+00,2.203359745391720139e-04
1.049149986926772860e+00,2.202199163677188618e-04
1.052844170414841019e+00,2.204276037968582239e-04
1.056538353902909400e+00,2.205179341909426372e-04
1.060232537390977781e+00,2.206808474389655261e-04
1.063926720879046162e+00,2.209086696193139567e-04
1.067620904367114543e+00,2.210325257987495588e-04
1.071315087855182924e+00,2.207710467314035006e-04
1.075009271343251305e+00,2.206805427620862057e-04
1.078703454831319686e+00,2.206183537303373467e-04
1.082397638319388067e+00,2.207557937686168315e-04
1.086091821807456448e+00,2.209432188261089820e-04
1.089786005295524829e+00,2.209168251062725420e-04
1.093480188783593210e+00,2.211641144028805189e-04
1.097174372271661591e+00,2.214713706126658762e-04
1.100868555759729972e+00,2.215052575416663659e-04
1.104562739247798353e+00,2.216091972740246970e-04
1.108256922735866734e+00,2.218711348539436625e-04
1.111951106223935115e+00,2.218127163493349089e-04
1.115645289712003496e+00,2.219816665172974642e-04
1.119339473200071877e+00,2.220965907745498001e-04
1.123033656688140258e+00,2.222722879869661180e-04
1.126727840176208417e+00,2.220269167212815184e-04
1.130422023664276798e+00,2.221793846177455047e-04
1.134116207152345179e+00,2.220773326106965212e-04
1.137810390640413560e+00,2.221568614137237367e-04
1.141504574128481941e+00,2.219903900424039271e-04
1.145198757616550322e+00,2.219742910453277845e-04
1.148892941104618703e+00,2.216365175653145980e-04
1.152587124592687085e+00,2.216913188825154612e-04
1.156281308080755466e+00,2.216965367327641226e-04
1.159975491568823847e+00,2.218115219439370262e-04
1.163669675056892228e+00,2.219609167351581586e-04
