NormT,saffman
3.989736930267396287e-01,3.315850840917235545e-03
4.026678765148080097e-01,3.318440770155520279e-03
4.063620600028763907e-01,3.319975298227023988e-03
4.100562434909447718e-01,3.327486944593277887e-03
4.137504269790131528e-01,3.335649461837598105e-03
4.174446104670814783e-01,3.330747224471971180e-03
4.211387939551498594e-01,3.338477167862694082e-03
4.248329774432182404e-01,3.341031941265846898e-03
4.285271609312866214e-01,3.354694674600071196e-03
4.322213444193550025e-01,3.355638020157543800e-03
4.359155279074233280e-01,3.368676317088596835e-03
4.396097113954917091e-01,3.371696938965672557e-03
4.433038948835600901e-01,3.381046781193619306e-03
4.469980783716284711e-01,3.377680656364527925e-03
4.506922618596968522e-01,3.374954505859206408e-03
4.543864453477651777e-01,3.382228363408986208e-03
4.580806288358335587e-01,3.386098117998333473e-03
4.617748123239019398e-01,3.392388148195884471e-03
4.654689958119703208e-01,3.406214146445622412e-03
4.691631793000387018e-01,3.393777832733254479e-03
4.728573627881070274e-01,3.404018059695333286e-03
4.765515462761754084e-01,3.413886402604563060e-03
4.802457297642437895e-01,3.425687779641344716e-03
4.839399132523121705e-01,3.428837553773951292e-03
4.876340967403805515e-01,3.429810035273569372e-03
4.913282802284488771e-01,3.446271393739566875e-03
4.950224637165172581e-01,3.455945334651594394e-03
4.987166472045856391e-01,3.446990186290747188e-03
5.024108306926540202e-01,3.459024058079064774e-03
5.061050141807224012e-01,3.468403600503765314e-03
5.097991976687907822e-01,3.490523165666689718e-03
5.134933811568591633e-01,3.503655503710779735e-03
5.171875646449275443e-01,3.513275453758350070e-03
5.208817481329958143e-01,3.515670214147792200e-03
5.245759316210641954e-01,3.530328136348013287e-03
5.282701151091325764e-01,3.526372952099806387e-03
5.319642985972009575e-01,3.528598177088531317e-03
5.356584820852693385e-01,3.542901780746748278e-03
5.393526655733377195e-01,3.543560099867095782e-03
5.430468490614061006e-01,3.542121658520007692e-03
5.467410325494744816e-01,3.551065112182546189e-03
5.504352160375428626e-01,3.570970687897982200e-03
