OmegaPlot,Elag
0.000000000000000000e+00,1.602516461341496959e-02
9.999999099200415978e-03,1.035207925345992984e-03
1.999999819840083196e-02,6.748850577690756157e-04
2.999999729760124273e-02,4.874106751420299258e-04
3.999999639680166391e-02,4.049896299391242687e-04
4.999999549600207122e-02,2.857445914485166752e-04
5.999999459520248546e-02,1.893443982513577629e-04
6.999999369440290664e-02,1.294984027119265764e-04
7.999999279360332782e-02,9.636072642520977208e-05
8.999999189280373513e-02,7.838661448277730172e-05
9.999999099200414243e-02,6.803703648725734727e-05
1.099999900912045636e-01,5.613849706760279363e-05
1.199999891904049709e-01,4.386686398826927802e-05
1.299999882896053782e-01,3.515679793994746106e-05
1.399999873888058133e-01,2.915857187858645900e-05
1.499999864880062206e-01,2.440706461122584282e-05
1.599999855872066556e-01,2.093277572355073474e-05
1.699999846864070630e-01,1.785705157504801309e-05
1.799999837856074703e-01,1.556675682694241104e-05
1.899999828848078776e-01,1.387373291750715221e-05
1.999999819840082849e-01,1.225309756458980397e-05
2.099999810832087199e-01,1.104350570034850508e-05
2.199999801824091272e-01,9.919971802158096040e-06
2.299999792816095345e-01,8.851122520988416516e-06
2.399999783808099418e-01,8.109557162745488593e-06
2.499999774800103491e-01,7.342392523486857894e-06
2.599999765792107564e-01,6.657216568529985487e-06
2.699999756784112193e-01,6.144141428907150374e-06
2.799999747776116266e-01,5.712806020994572523e-06
2.899999738768120339e-01,5.268239347646680351e-06
2.999999729760124412e-01,4.909922390543949633e-06
3.099999720752128485e-01,4.567019688435790737e-06
3.199999711744133113e-01,4.202112485743136144e-06
3.299999702736137186e-01,3.925612813928565743e-06
3.399999693728141259e-01,3.703254698108395196e-06
3.499999684720145332e-01,3.474029989586874771e-06
3.599999675712149405e-01,3.247629514529398724e-06
3.699999666704153478e-01,3.100817221061109324e-06
3.799999657696157551e-01,2.920444854853023902e-06
3.899999648688162179e-01,2.708315347171901793e-06
3.999999639680165697e-01,2.567416821291887665e-06
4.099999630672170325e-01,2.447626227274143516e-06
4.199999621664174398e-01,2.313986901042290679e-06
4.299999612656178472e-01,2.210852402932045626e-06
4.399999603648182545e-01,2.088612331259220614e-06
4.499999594640186618e-01,1.987877351485257297e-06
4.599999585632190691e-01,1.861041527825590124e-06
4.699999576624195319e-01,1.792671618804061236e-06
4.799999567616198837e-01,1.716170176719943274e-06
4.899999558608203465e-01,1.624973667146583484e-06
4.999999549600206983e-01,1.564802076566682137e-06
5.099999540592211611e-01,1.498808079571277062e-06
5.199999531584215129e-01,1.433654130568749354e-06
5.299999522576219757e-01,1.363445235013062330e-06
5.399999513568224385e-01,1.303971964483775324e-06
5.499999504560227903e-01,1.252929954423980147e-06
5.599999495552232531e-01,1.213107824788947540e-06
5.699999486544236049e-01,1.148228964857371096e-06
5.799999477536240677e-01,1.097460472283147920e-06
5.899999468528245306e-01,1.044434464330502075e-06
5.999999459520248823e-01,1.014998836458160792e-06
6.099999450512253452e-01,9.754491677672453673e-07
6.199999441504256970e-01,9.422735605713087704e-07
6.299999432496261598e-01,9.020111434990158873e-07
6.399999423488266226e-01,8.644015789377998775e-07
6.499999414480269744e-01,8.257894034395951605e-07
6.599999405472274372e-01,7.948165700465096970e-07
6.699999396464277890e-01,7.646222940504876474e-07
6.799999387456282518e-01,7.392231275663527897e-07
6.899999378448286036e-01,7.135789373293708492e-07
6.999999369440290664e-01,6.882561291035145568e-07
7.099999360432295292e-01,6.648742160777974792e-07
7.199999351424298810e-01,6.327893197538103094e-07
7.299999342416303438e-01,6.177552399993202417e-07
7.399999333408306956e-01,5.823175095596169923e-07
7.499999324400310474e-01,5.700759241443800128e-07
7.599999315392315102e-01,5.488398823037211120e-07
7.699999306384319731e-01,5.268160525208450862e-07
7.799999297376324359e-01,5.097787929553686877e-07
7.899999288368327877e-01,4.904012475904035315e-07
7.999999279360331395e-01,4.739285532322017489e-07
8.099999270352336023e-01,4.583186855449505960e-07
8.199999261344340651e-01,4.427337222397704600e-07
8.299999252336344169e-01,4.280715646876091208e-07
8.399999243328348797e-01,4.130698973060445737e-07
8.499999234320352315e-01,4.044980836355691438e-07
8.599999225312356943e-01,3.842634109997246744e-07
8.699999216304360461e-01,3.774381578395644014e-07
8.799999207296365089e-01,3.597254303172900170e-07
8.899999198288369717e-01,3.472662192446080881e-07
8.999999189280373235e-01,3.391822892541949999e-07
9.099999180272376753e-01,3.238062147499400652e-07
9.199999171264381381e-01,3.144616374769569805e-07
9.299999162256386009e-01,3.053819268356194404e-07
9.399999153248390638e-01,2.948112037341794659e-07
9.499999144240393045e-01,2.856724355856364969e-07
9.599999135232397673e-01,2.751869834209041502e-07
9.699999126224402302e-01,2.657522623520073652e-07
9.799999117216406930e-01,2.572820237835073998e-07
9.899999108208411558e-01,2.520186968139998641e-07
9.999999099200413966e-01,2.445371219054678744e-07
1.009999909019241970e+00,2.371623900185831633e-07
1.019999908118442322e+00,2.291443312698749275e-07
1.029999907217642674e+00,2.228869806878026740e-07
1.039999906316843026e+00,2.144866238274831778e-07
1.049999905416043600e+00,2.096994514916266299e-07
1.059999904515243951e+00,2.037410721295108819e-07
1.069999903614444303e+00,1.960174111646138218e-07
1.079999902713644877e+00,1.901404991403151014e-07
1.089999901812845229e+00,1.849060077783832566e-07
1.099999900912045581e+00,1.784336392176315986e-07
1.109999900011246154e+00,1.741639509105532724e-07
1.119999899110446506e+00,1.681800902527102649e-07
1.129999898209646858e+00,1.636125107179323875e-07
1.139999897308847210e+00,1.592143779709242774e-07
1.149999896408047784e+00,1.545760679671578881e-07
1.159999895507248135e+00,1.502839044110231017e-07
1.169999894606448487e+00,1.445167245765741106e-07
1.179999893705649061e+00,1.423889091034327875e-07
1.189999892804849413e+00,1.375468201728329598e-07
1.199999891904049765e+00,1.333202412235526208e-07
1.209999891003250116e+00,1.291182528146881929e-07
1.219999890102450690e+00,1.260964513656556144e-07
1.229999889201651042e+00,1.233837512017360751e-07
1.239999888300851394e+00,1.202187270701035057e-07
1.249999887400051746e+00,1.156249045518931715e-07
1.259999886499252320e+00,1.131069527984448142e-07
1.269999885598452671e+00,1.110736617434000348e-07
1.279999884697653245e+00,1.068367155393760663e-07
1.289999883796853375e+00,1.049583051113297627e-07
1.299999882896053949e+00,1.018506265190504311e-07
1.309999881995254301e+00,9.928908348828016929e-08
1.319999881094454874e+00,9.630526534895657997e-08
1.329999880193655004e+00,9.449768279580259607e-08
1.339999879292855578e+00,9.117570664802254395e-08
1.349999878392055930e+00,8.968200227493583290e-08
1.359999877491256504e+00,8.702687389631892734e-08
1.369999876590456855e+00,8.452134242226007505e-08
1.379999875689657207e+00,8.228562915512491645e-08
1.389999874788857559e+00,8.078524626770049880e-08
1.399999873888058133e+00,7.843355988638320067e-08
1.409999872987258485e+00,7.693201941011288502e-08
1.419999872086459058e+00,7.559480820828984993e-08
1.429999871185659188e+00,7.380907735473988392e-08
1.439999870284859762e+00,7.178471271546685799e-08
1.449999869384059892e+00,7.000907022014136580e-08
1.459999868483260688e+00,6.863346948279833479e-08
1.469999867582460817e+00,6.665610921317058132e-08
1.479999866681661391e+00,6.548637599379431466e-08
1.489999865780861743e+00,6.428813416324042390e-08
1.499999864880062095e+00,6.239773364026045048e-08
1.509999863979262669e+00,6.090562327046751827e-08
1.519999863078463020e+00,6.010127223831049359e-08
1.529999862177663594e+00,5.851793402305582036e-08
1.539999861276863946e+00,5.730251495499326955e-08
1.549999860376064076e+00,5.594946156359582938e-08
1.559999859475264872e+00,5.486383844284889763e-08
1.569999858574465001e+00,5.367897728289749306e-08
1.579999857673665575e+00,5.247230238818028924e-08
1.589999856772865927e+00,5.134401196375777983e-08
1.599999855872066279e+00,5.071840485636197061e-08
1.609999854971266853e+00,4.952089468688008339e-08
1.619999854070467205e+00,4.842456450281576945e-08
1.629999853169667778e+00,4.747150628216952265e-08
1.639999852268868130e+00,4.672138962869976297e-08
1.649999851368068260e+00,4.572781368847066340e-08
1.659999850467268834e+00,4.473897112974351249e-08
1.669999849566469186e+00,4.370413481648102652e-08
1.679999848665669759e+00,4.300456203896179467e-08
1.689999847764870111e+00,4.225370624325891033e-08
1.699999846864070463e+00,4.159705959821694700e-08
1.709999845963271037e+00,4.084282144104064202e-08
1.719999845062471389e+00,4.023618380706372485e-08
1.729999844161671962e+00,3.934857280876483884e-08
1.739999843260872092e+00,3.842703947768831996e-08
1.749999842360072444e+00,3.774700831912632303e-08
1.759999841459273018e+00,3.741287667064221290e-08
1.769999840558473370e+00,3.666570927461934649e-08
1.779999839657673943e+00,3.599845020686169187e-08
1.789999838756874295e+00,3.534423992469836645e-08
1.799999837856074647e+00,3.487987366981671522e-08
1.809999836955275221e+00,3.427549794696352249e-08
1.819999836054475351e+00,3.371591305790635296e-08
1.829999835153676147e+00,3.334119020719145364e-08
1.839999834252876276e+00,3.269583151639939957e-08
1.849999833352076628e+00,3.196649797219555101e-08
1.859999832451277202e+00,3.176100842536148829e-08
1.869999831550477554e+00,3.114086864160449336e-08
1.879999830649678128e+00,3.069871722239682662e-08
1.889999829748878479e+00,3.025593935598920066e-08
1.899999828848078609e+00,2.983161906432988226e-08
1.909999827947279405e+00,2.931040912458544773e-08
1.919999827046479535e+00,2.886247163349594975e-08
1.929999826145680109e+00,2.842170600122481651e-08
1.939999825244880460e+00,2.797997831408689686e-08
1.949999824344080812e+00,2.781748366769507383e-08
1.959999823443281386e+00,2.711857822021116967e-08
1.969999822542481738e+00,2.707759250252856223e-08
1.979999821641682312e+00,2.646773017985200368e-08
1.989999820740882663e+00,2.620723607673656618e-08
1.999999819840082793e+00,2.588437574827010581e-08
2.009999818939283589e+00,2.555762235624731881e-08
2.019999818038483941e+00,2.512287721575861448e-08
2.029999817137683849e+00,2.469504489485018513e-08
2.039999816236884644e+00,2.448449878666919655e-08
2.049999815336084996e+00,2.434033699197205314e-08
2.059999814435285348e+00,2.395526306656579102e-08
2.069999813534485700e+00,2.359697190633229468e-08
2.079999812633686052e+00,2.339494499281273127e-08
2.089999811732886847e+00,2.301334210116718877e-08
2.099999810832087199e+00,2.268196593600973791e-08
2.109999809931287551e+00,2.252882922116245107e-08
2.119999809030487903e+00,2.228032000143236026e-08
2.129999808129688255e+00,2.186396989548839326e-08
2.139999807228888606e+00,2.172230512623746480e-08
2.149999806328088958e+00,2.153671877047560709e-08
2.159999805427289754e+00,2.126717897164693721e-08
2.169999804526490106e+00,2.101256342804842146e-08
2.179999803625690458e+00,2.065650249834351409e-08
2.189999802724890809e+00,2.050578094365454923e-08
2.199999801824091161e+00,2.026476798930393791e-08
2.209999800923291957e+00,2.002401623337554298e-08
2.219999800022492309e+00,1.973047722402933729e-08
2.229999799121692217e+00,1.960546954110885313e-08
2.239999798220893013e+00,1.946714904169928581e-08
2.249999797320093364e+00,1.925837477576288327e-08
2.259999796419293716e+00,1.893380508475077163e-08
2.269999795518494068e+00,1.882285251191903752e-08
2.279999794617694420e+00,1.860172415041036826e-08
2.289999793716895216e+00,1.847405609051198050e-08
2.299999792816095567e+00,1.824537171117986872e-08
2.309999791915295919e+00,1.808590089212682591e-08
2.319999791014496271e+00,1.786897145607863705e-08
2.329999790113696623e+00,1.768939582322898279e-08
2.339999789212896975e+00,1.756315191852321787e-08
2.349999788312097326e+00,1.732288526043047917e-08
2.359999787411298122e+00,1.715863074175877531e-08
2.369999786510498474e+00,1.702348930522911664e-08
2.379999785609698826e+00,1.687155607164314638e-08
2.389999784708899178e+00,1.673587656222135330e-08
2.399999783808099529e+00,1.655916706201725750e-08
2.409999782907300325e+00,1.642893018969134631e-08
2.419999782006500233e+00,1.625986031297838588e-08
2.429999781105700585e+00,1.611672856034900552e-08
2.439999780204901381e+00,1.599193849952781928e-08
2.449999779304101732e+00,1.590115710698621528e-08
2.459999778403302084e+00,1.572887405644375862e-08
2.469999777502502436e+00,1.555584051569179249e-08
2.479999776601702788e+00,1.542022383808078844e-08
2.489999775700903584e+00,1.532673168803716612e-08
2.499999774800103491e+00,1.516705450850870925e-08
2.509999773899304287e+00,1.504114670302727683e-08
2.519999772998504639e+00,1.488291653589697987e-08
2.529999772097704991e+00,1.478770742250198363e-08
2.539999771196905343e+00,1.469870796591579889e-08
2.549999770296105694e+00,1.456827660511705737e-08
2.559999769395306490e+00,1.444145811387329508e-08
2.569999768494506842e+00,1.434920419469546995e-08
2.579999767593706750e+00,1.421556292497014185e-08
2.589999766692907546e+00,1.414790720132060433e-08
2.599999765792107898e+00,1.401929890040858817e-08
2.609999764891308249e+00,1.384301886390731203e-08
2.619999763990508601e+00,1.379330226450993186e-08
2.629999763089708953e+00,1.366529378586866938e-08
2.639999762188909749e+00,1.362136029281132473e-08
2.649999761288110101e+00,1.345464955453705621e-08
2.659999760387310008e+00,1.340004509890622937e-08
2.669999759486510804e+00,1.326975503390173803e-08
2.679999758585711156e+00,1.319533249419736454e-08
2.689999757684911508e+00,1.311883593386968328e-08
2.699999756784111860e+00,1.296390749347330321e-08
2.709999755883312211e+00,1.290683297204051021e-08
2.719999754982513007e+00,1.281253208166704890e-08
2.729999754081713359e+00,1.272021443556780972e-08
2.739999753180913711e+00,1.262612216047629715e-08
2.749999752280114063e+00,1.254490511746212554e-08
2.759999751379314414e+00,1.244875247766434173e-08
2.769999750478514766e+00,1.238757498731750141e-08
2.779999749577715118e+00,1.229864763178682046e-08
2.789999748676915914e+00,1.222124325532920837e-08
2.799999747776116266e+00,1.211103656589090483e-08
2.809999746875316617e+00,1.205865169515056313e-08
2.819999745974516969e+00,1.198457128034635419e-08
2.829999745073717321e+00,1.188323260718923445e-08
2.839999744172918117e+00,1.183296683991699689e-08
2.849999743272118025e+00,1.175188000608724669e-08
2.859999742371318376e+00,1.168492655837937169e-08
2.869999741470518728e+00,1.160825067157148082e-08
2.879999740569719524e+00,1.155815886809430145e-08
2.889999739668919876e+00,1.145551596961818852e-08
2.899999738768119784e+00,1.140769536979345596e-08
2.909999737867320579e+00,1.130934644016713959e-08
2.919999736966521375e+00,1.126777592469422823e-08
2.929999736065721727e+00,1.118028971282439106e-08
2.939999735164921635e+00,1.113408362674149270e-08
2.949999734264122431e+00,1.108381068022723782e-08
2.959999733363322783e+00,1.098340785213284050e-08
2.969999732462523134e+00,1.092157878869289419e-08
2.979999731561723486e+00,1.086804871810372526e-08
2.989999730660924282e+00,1.078598387958875385e-08
2.999999729760124190e+00,1.077627128490161337e-08
3.009999728859324541e+00,1.068055062684592394e-08
3.019999727958525337e+00,1.064490143117265743e-08
3.029999727057726133e+00,1.056428175981188489e-08
3.039999726156926041e+00,1.053857932937237374e-08
3.049999725256126393e+00,1.047486799530324245e-08
3.059999724355327189e+00,1.042049747905150517e-08
3.069999723454527096e+00,1.034676959971274428e-08
3.079999722553727892e+00,1.029565906073572705e-08
3.089999721652928244e+00,1.024684103471960388e-08
3.099999720752128152e+00,1.020062589773706183e-08
3.109999719851328948e+00,1.013383880595689471e-08
3.119999718950529743e+00,1.008284736443401565e-08
3.129999718049730095e+00,1.003573732668914986e-08
3.139999717148930003e+00,9.996399779584784477e-09
3.149999716248130799e+00,9.941195270878807623e-09
3.159999715347331151e+00,9.878758684125071782e-09
3.169999714446531502e+00,9.843422630708024668e-09
3.179999713545731854e+00,9.816952827759676117e-09
3.189999712644932650e+00,9.751080664287300939e-09
3.199999711744132558e+00,9.715553351102204776e-09
3.209999710843332910e+00,9.669948588830078977e-09
3.219999709942533705e+00,9.618390772808153928e-09
3.229999709041734501e+00,9.586610388105940162e-09
3.239999708140934409e+00,9.532391129622134662e-09
3.249999707240134761e+00,9.512723115809155237e-09
3.259999706339335557e+00,9.451613311139714116e-09
3.269999705438535464e+00,9.401564404396329821e-09
3.279999704537736260e+00,9.366183311280390878e-09
3.289999703636936612e+00,9.333900099244521706e-09
3.299999702736136520e+00,9.284809259688805891e-09
3.309999701835337316e+00,9.254123884000681993e-09
3.319999700934537668e+00,9.210728681727869882e-09
3.329999700033738463e+00,9.152871152467746540e-09
3.339999699132938371e+00,9.143454057597086012e-09
3.349999698232139167e+00,9.110289018557819865e-09
3.359999697331339519e+00,9.063995531805173487e-09
3.369999696430539426e+00,9.021173737145085683e-09
3.379999695529740222e+00,8.977625101173897332e-09
3.389999694628941018e+00,8.956245093726719778e-09
3.399999693728140926e+00,8.933810437984090621e-09
3.409999692827341278e+00,8.871133952700828420e-09
3.419999691926542074e+00,8.873003669582949884e-09
3.429999691025742425e+00,8.814780104727194166e-09
3.439999690124942777e+00,8.774090400719898975e-09
3.449999689224143129e+00,8.761044693922076231e-09
3.459999688323343925e+00,8.707714370764605783e-09
3.469999687422543833e+00,8.686873782925215146e-09
3.479999686521744184e+00,8.661311920263280441e-09
3.489999685620944980e+00,8.627222394154380634e-09
3.499999684720144888e+00,8.594514023674244101e-09
3.509999683819345684e+00,8.570817430724478187e-09
3.519999682918546036e+00,8.528879243240773229e-09
3.529999682017745943e+00,8.496360817872603284e-09
3.539999681116946739e+00,8.479442408825424639e-09
3.549999680216147535e+00,8.432500268293198989e-09
3.559999679315347887e+00,8.411718215338599345e-09
3.569999678414547795e+00,8.372464741905867845e-09
3.579999677513748590e+00,8.362981619809452931e-09
3.589999676612948942e+00,8.325488016173650909e-09
3.599999675712149294e+00,8.305247186792369082e-09
3.609999674811349646e+00,8.262456047155609189e-09
3.619999673910550442e+00,8.251102683471144864e-09
3.629999673009750349e+00,8.227441436476509284e-09
3.639999672108950701e+00,8.215281690182535670e-09
3.649999671208151497e+00,8.164194879459041183e-09
3.659999670307352293e+00,8.141099938172272970e-09
3.669999669406552201e+00,8.127602014364208629e-09
3.679999668505752553e+00,8.098582608348870788e-09
3.689999667604953348e+00,8.074001964277630203e-09
3.699999666704153256e+00,8.038489283275098921e-09
3.709999665803354052e+00,8.022053381564242984e-09
3.719999664902554404e+00,8.000819231755085114e-09
3.729999664001754311e+00,7.986951828618326820e-09
3.739999663100955107e+00,7.944602258856438296e-09
3.749999662200155459e+00,7.934872511323242619e-09
3.759999661299356255e+00,7.905249459079919815e-09
3.769999660398556163e+00,7.880443701831355619e-09
3.779999659497756959e+00,7.856196284554141499e-09
3.789999658596957310e+00,7.851229635035258693e-09
3.799999657696157218e+00,7.822752359900385396e-09
3.809999656795358014e+00,7.808253119896003999e-09
3.819999655894558810e+00,7.770610906331955701e-09
3.829999654993758718e+00,7.766212553475042614e-09
3.839999654092959069e+00,7.747016598389051017e-09
3.849999653192159865e+00,7.715790102206888426e-09
3.859999652291360217e+00,7.687250271182160690e-09
3.869999651390560569e+00,7.676298030916010469e-09
3.879999650489760921e+00,7.650727385051872849e-09
3.889999649588961717e+00,7.648060126304097999e-09
3.899999648688161624e+00,7.627214761184071697e-09
3.909999647787361976e+00,7.608457051924080316e-09
3.919999646886562772e+00,7.585694900177325606e-09
3.929999645985762680e+00,7.571850746179641006e-09
3.939999645084963475e+00,7.539270340804345492e-09
3.949999644184163827e+00,7.530558037910421473e-09
3.959999643283364623e+00,7.509899123495190154e-09
3.969999642382564531e+00,7.503428323345267260e-09
3.979999641481765327e+00,7.474080607988295438e-09
3.989999640580965679e+00,7.467347421519075371e-09
3.999999639680165586e+00,7.446950912068666561e-09
4.009999638779365938e+00,7.421614399422936195e-09
4.019999637878567178e+00,7.414528166012557196e-09
4.029999636977766642e+00,7.405231546310453682e-09
4.039999636076967882e+00,7.375802740735754316e-09
4.049999635176168233e+00,7.364844850869822880e-09
4.059999634275367697e+00,7.350363150426626270e-09
4.069999633374568937e+00,7.334630503834882615e-09
4.079999632473769289e+00,7.312746602480287991e-09
4.089999631572969641e+00,7.307313182224116374e-09
4.099999630672169992e+00,7.291916412986804142e-09
4.109999629771370344e+00,7.271313842866874344e-09
4.119999628870570696e+00,7.269443021028436018e-09
4.129999627969771048e+00,7.250100537232244099e-09
4.139999627068971400e+00,7.219647409175921547e-09
4.149999626168172639e+00,7.212839749312014865e-09
4.159999625267372103e+00,7.210388293149917410e-09
4.169999624366572455e+00,7.194531933766703493e-09
4.179999623465773695e+00,7.177119704837056540e-09
4.189999622564974047e+00,7.162511254867526838e-09
4.199999621664174398e+00,7.148675341515123663e-09
4.209999620763374750e+00,7.152813037331545672e-09
4.219999619862575102e+00,7.114768389203692552e-09
4.229999618961775454e+00,7.118234784754570809e-09
4.239999618060975806e+00,7.089767656056575591e-09
4.249999617160176157e+00,7.093370667552642815e-09
4.259999616259376509e+00,7.083367135750976052e-09
4.269999615358576861e+00,7.066848586282002209e-09
4.279999614457777213e+00,7.051958009953964651e-09
4.289999613556978453e+00,7.048892965517688008e-09
4.299999612656177916e+00,7.032518649900925696e-09
4.309999611755379156e+00,7.027467366865094253e-09
4.319999610854579508e+00,7.004516077927372865e-09
4.329999609953778972e+00,6.998215478763231374e-09
4.339999609052980212e+00,6.992116718382592565e-09
4.349999608152180564e+00,6.984477912054515485e-09
4.359999607251380915e+00,6.969297274527964704e-09
4.369999606350581267e+00,6.966283829429543947e-09
