OmegaPlot,Elag
0.000000000000000000e+00,8.721735320225982441e-03
1.666666621455135597e-02,2.054385785427654057e-03
3.333333242910271194e-02,1.256158380368681488e-03
4.999999864365407137e-02,6.933633027133091807e-04
6.666666485820542387e-02,4.224195136803860916e-04
8.333333107275678331e-02,2.867700365328815313e-04
9.999999728730814275e-02,1.895551732369838642e-04
1.166666635018594883e-01,1.355724640478249963e-04
1.333333297164108477e-01,1.006525752714860442e-04
1.499999959309621933e-01,7.491864145832030197e-05
1.666666621455135666e-01,5.724285134966727563e-05
1.833333283600649122e-01,4.488344249175010663e-05
1.999999945746162855e-01,3.617614046955664137e-05
2.166666607891676033e-01,2.991295819688368589e-05
2.333333270037189766e-01,2.538324650774870657e-05
2.499999932182703222e-01,2.133306616114871051e-05
2.666666594328216955e-01,1.779507942796156462e-05
2.833333256473730133e-01,1.536855131377100540e-05
2.999999918619243866e-01,1.321814279790224747e-05
3.166666580764757599e-01,1.162711504174681355e-05
3.333333242910271332e-01,1.036127631690442733e-05
3.499999905055785065e-01,9.118798495771773211e-06
3.666666567201298244e-01,8.314177141448503031e-06
3.833333229346811422e-01,7.321384809581451019e-06
3.999999891492325710e-01,6.586534084844286797e-06
4.166666553637838888e-01,6.010067105440412938e-06
4.333333215783352066e-01,5.456629236722805560e-06
4.499999877928865799e-01,5.024721462301957578e-06
4.666666540074379532e-01,4.592792492628790429e-06
4.833333202219893265e-01,4.201660738420566710e-06
4.999999864365406443e-01,3.853353394859303438e-06
5.166666526510920177e-01,3.579673374550895811e-06
5.333333188656433910e-01,3.333809529696704827e-06
5.499999850801947643e-01,3.085216851257067247e-06
5.666666512947460266e-01,2.829143047473600396e-06
5.833333175092975109e-01,2.658234295825593078e-06
5.999999837238487732e-01,2.462380664464330839e-06
6.166666499384001465e-01,2.301841807928020164e-06
6.333333161529515198e-01,2.165943752791439828e-06
6.499999823675028932e-01,2.017785784325133674e-06
6.666666485820542665e-01,1.893865314330783465e-06
6.833333147966055288e-01,1.782882586493372602e-06
6.999999810111570131e-01,1.658592078496931517e-06
7.166666472257082754e-01,1.568975221069069118e-06
7.333333134402596487e-01,1.466001443531430025e-06
7.499999796548110220e-01,1.391059250964855332e-06
7.666666458693622843e-01,1.293620040358880500e-06
7.833333120839137687e-01,1.226433866016008551e-06
7.999999782984651420e-01,1.163102114560244503e-06
8.166666445130164043e-01,1.088236523290019895e-06
8.333333107275677776e-01,1.038109556729586747e-06
8.499999769421192619e-01,9.810100953302798463e-07
8.666666431566704132e-01,9.263633907417860398e-07
8.833333093712218975e-01,8.733391762941099423e-07
8.999999755857731598e-01,8.301675923019120579e-07
9.166666418003245331e-01,7.734874110537111582e-07
9.333333080148759064e-01,7.421911368374745995e-07
