x, y
0.22587, 9.6875
0.57336, 9.41964
0.92085, 9.0625
1.61583, 8.39286
1.96332, 8.05804
2.31081, 7.72321
2.60618, 7.41071
2.71042, 7.34375
3.05792, 7.03125
3.40541, 6.69643
3.7529, 6.40625
4.06564, 6.11607
4.41313, 5.82589
4.76062, 5.53571
5.14286, 5.17857
5.49035, 4.93304
5.83784, 4.66518
6.18533, 4.375
6.51544, 4.12946
6.86293, 3.86161
7.21042, 3.59375
7.55792, 3.34821
8.07915, 2.99107
8.42664, 2.76786
8.77413, 2.52232
9.22587, 2.23214
9.57336, 2.03125
9.92085, 1.80804
10.25097, 1.54018
10.42471, 1.54018
10.7722, 1.31696
11.11969, 1.11607
11.46718, 0.95982
11.95367, 0.71429
12.30116, 0.51339
12.64865, 0.33482
12.99614, 0.22321
13.34363, 0.04464
14.12548, -0.26786
14.69884, -0.55804
15.23745, -0.73661
15.84556, -0.91518
16.41892, -1.09375
16.99228, -1.27232
17.60039, -1.42857
18.17375, -1.58482
18.78185, -1.74107
19.37259, -1.83036
19.98069, -1.98661
20.5888, -2.07589
21.17954, -2.14286
21.80502, -2.20982
22.34363, -2.32143
22.96911, -2.38839
23.55985, -2.41071
24.15058, -2.41071
24.77606, -2.47768
25.38417, -2.47768
25.9749, -2.5
26.54826, -2.54464
27.15637, -2.52232
27.79923, -2.5
28.40734, -2.5
28.98069, -2.47768
29.57143, -2.43304
30.4749, -2.45536
31.11776, -2.32143
31.70849, -2.29911
32.28185, -2.27679
32.90734, -2.23214
33.51544, -2.23214
34.07143, -2.09821
34.67954, -2.03125
35.30502, -2.00893
35.91313, -1.91964
36.48649, -1.85268
37.05985, -1.80804
37.66795, -1.76339
38.29344, -1.69643
38.88417, -1.62946
39.52703, -1.58482
40.06564, -1.54018
40.69112, -1.45089
41.29923, -1.38393
41.92471, -1.29464
42.46332, -1.27232
43.0888, -1.16071
43.67954, -1.13839
44.30502, -1.02679
