NormT,Drag
9.383244822847216504e-01,6.581652303900080714e-01
9.420186657727900315e-01,6.589252720307000599e-01
9.457128492608584125e-01,6.583303658537126291e-01
9.494070327489267935e-01,6.587664153169114911e-01
9.531012162369951746e-01,6.583175772718820040e-01
9.567953997250635556e-01,6.591136957556494869e-01
9.604895832131318256e-01,6.584855009641421564e-01
9.641837667012002067e-01,6.593443379560194328e-01
9.678779501892685877e-01,6.598999953205575419e-01
9.715721336773369687e-01,6.600489579871804402e-01
9.752663171654053498e-01,6.599204872790427334e-01
9.789605006534737308e-01,6.594028176873957259e-01
9.826546841415421119e-01,6.591868071140087881e-01
9.863488676296104929e-01,6.598077375197967109e-01
9.900430511176788739e-01,6.604826957393110654e-01
9.937372346057472550e-01,6.603185496029831958e-01
9.974314180938155250e-01,6.607411172194888049e-01
1.001125601581883906e+00,6.611836227015895906e-01
1.004819785069952287e+00,6.611337463031341510e-01
1.008513968558020668e+00,6.609515675639222598e-01
1.012208152046089049e+00,6.596403900154726996e-01
1.015902335534157430e+00,6.596620977731484370e-01
1.019596519022225811e+00,6.593668627953528372e-01
1.023290702510294192e+00,6.585693639624760065e-01
1.026984885998362573e+00,6.599558947945739495e-01
1.030679069486430954e+00,6.606106661333747132e-01
1.034373252974499335e+00,6.609626149652505500e-01
1.038067436462567716e+00,6.619742160395192254e-01
1.041761619950636097e+00,6.622195094145419958e-01
1.045455803438704478e+00,6.622486300388663594e-01
1.049149986926772860e+00,6.633338721567679785e-01
1.052844170414841019e+00,6.632451665174592392e-01
1.056538353902909400e+00,6.634557986046225597e-01
1.060232537390977781e+00,6.643828131295673733e-01
1.063926720879046162e+00,6.643536802199703217e-01
1.067620904367114543e+00,6.643770198117776582e-01
1.071315087855182924e+00,6.656569947245792873e-01
1.075009271343251305e+00,6.670479298720043415e-01
1.078703454831319686e+00,6.670383965267879800e-01
1.082397638319388067e+00,6.674371316887585115e-01
1.086091821807456448e+00,6.674048501244639331e-01
1.089786005295524829e+00,6.667547725245120960e-01
1.093480188783593210e+00,6.669501937386972390e-01
1.097174372271661591e+00,6.679909093146878529e-01
1.100868555759729972e+00,6.672915755375897762e-01
1.104562739247798353e+00,6.667450405026763560e-01
1.108256922735866734e+00,6.671596936035293357e-01
1.111951106223935115e+00,6.686779832026183978e-01
1.115645289712003496e+00,6.678658873129943441e-01
1.119339473200071877e+00,6.685996170391279581e-01
1.123033656688140258e+00,6.693841516247093226e-01
1.126727840176208417e+00,6.704073427146739483e-01
1.130422023664276798e+00,6.700412938649455974e-01
1.134116207152345179e+00,6.703602728951163492e-01
1.137810390640413560e+00,6.711313566763629224e-01
1.141504574128481941e+00,6.715885257407340214e-01
1.145198757616550322e+00,6.737189289578764395e-01
1.148892941104618703e+00,6.745249587325404805e-01
1.152587124592687085e+00,6.748410159939532971e-01
1.156281308080755466e+00,6.751697981963828976e-01
1.159975491568823847e+00,6.743684179477934526e-01
1.163669675056892228e+00,6.754353351761385182e-01
1.167363858544960609e+00,6.758906468243657262e-01
1.171058042033028990e+00,6.752016979398929308e-01
1.174752225521097371e+00,6.754023855942734578e-01
1.178446409009165752e+00,6.762079210599033496e-01
1.182140592497234133e+00,6.778357901667164676e-01
1.185834775985302514e+00,6.785320797746793309e-01
1.189528959473370895e+00,6.778872346476505495e-01
1.193223142961439276e+00,6.781148046931888551e-01
1.196917326449507657e+00,6.785660421257322383e-01
1.200611509937575816e+00,6.794852541729925477e-01
1.204305693425644197e+00,6.806521131951462911e-01
1.207999876913712578e+00,6.801929175818517415e-01
1.211694060401780959e+00,6.812503139862701174e-01
1.215388243889849340e+00,6.816985809186036915e-01
1.219082427377917721e+00,6.824490914716051515e-01
1.222776610865986102e+00,6.822853567235868111e-01
1.226470794354054483e+00,6.815785725490188796e-01
1.230164977842122864e+00,6.813744877276051159e-01
1.233859161330191245e+00,6.811382911512574578e-01
1.237553344818259626e+00,6.818328271742980506e-01
1.241247528306328007e+00,6.818782261235605269e-01
1.244941711794396388e+00,6.819056223152957230e-01
1.248635895282464769e+00,6.826117947616672232e-01
1.252330078770533150e+00,6.827629704252794474e-01
1.256024262258601532e+00,6.823209430365195782e-01
1.259718445746669913e+00,6.813808112591154265e-01
1.263412629234738294e+00,6.804696482224351639e-01
1.267106812722806675e+00,6.813794749218143876e-01
1.270800996210875056e+00,6.809644296412655784e-01
1.274495179698943215e+00,6.806730469555144492e-01
1.278189363187011596e+00,6.815210877812726276e-01
1.281883546675079977e+00,6.812997369938172953e-01
1.285577730163148358e+00,6.812532784851934586e-01
1.289271913651216739e+00,6.816625028636038586e-01
1.292966097139285120e+00,6.814852347498188134e-01
1.296660280627353501e+00,6.813646454098712946e-01
1.300354464115421882e+00,6.803899058210576278e-01
1.304048647603490263e+00,6.805935800688798221e-01
1.307742831091558644e+00,6.801208973165491223e-01
1.311437014579627025e+00,6.801055407914882167e-01
1.315131198067695406e+00,6.789923501304422349e-01
1.318825381555763787e+00,6.779969581919340627e-01
1.322519565043832168e+00,6.782510346430898895e-01
1.326213748531900549e+00,6.783682811511773103e-01
1.329907932019968930e+00,6.783592186260121171e-01
1.333602115508037311e+00,6.781876118357109684e-01
1.337296298996105692e+00,6.775392926089454093e-01
1.340990482484174073e+00,6.769951371897732217e-01
1.344684665972242454e+00,6.765386754967351868e-01
1.348378849460310613e+00,6.762326014743577085e-01
1.352073032948378994e+00,6.770935339941152042e-01
1.355767216436447375e+00,6.773783059648526006e-01
1.359461399924515757e+00,6.778010865332754209e-01
1.363155583412584138e+00,6.785767715296840974e-01
1.366849766900652519e+00,6.785624472062515844e-01
1.370543950388720900e+00,6.784002690028181348e-01
1.374238133876789281e+00,6.787217083338644708e-01
1.377932317364857662e+00,6.788971972499145968e-01
1.381626500852926043e+00,6.787418028288882965e-01
1.385320684340994424e+00,6.792737376206994249e-01
1.389014867829062805e+00,6.789267202161518577e-01
1.392709051317131186e+00,6.781364027257549276e-01
1.396403234805199567e+00,6.786039303489542762e-01
1.400097418293267948e+00,6.780785082883167281e-01
1.403791601781336329e+00,6.774202507139428509e-01
1.407485785269404710e+00,6.774232105200516108e-01
1.411179968757473091e+00,6.769288033231875001e-01
1.414874152245541472e+00,6.767530516103399396e-01
1.418568335733609853e+00,6.767513846429755731e-01
1.422262519221678012e+00,6.759350235790647643e-01
1.425956702709746393e+00,6.767427845972898703e-01
1.429650886197814774e+00,6.777030054737253062e-01
1.433345069685883155e+00,6.773280937222588838e-01
1.437039253173951536e+00,6.777500888051627426e-01
1.440733436662019917e+00,6.779698160189288059e-01
1.444427620150088298e+00,6.783148615886744892e-01
1.448121803638156679e+00,6.783810488269962358e-01
1.451815987126225060e+00,6.792846415058032550e-01
1.455510170614293441e+00,6.799219215444003428e-01
1.459204354102361822e+00,6.800528838818032940e-01
1.462898537590430204e+00,6.808060236665225418e-01
1.466592721078498585e+00,6.796725717368431452e-01
1.470286904566566966e+00,6.790848528659515493e-01
1.473981088054635347e+00,6.800407322180502812e-01
1.477675271542703728e+00,6.807136041293005979e-01
1.481369455030772109e+00,6.816765863997208408e-01
1.485063638518840490e+00,6.808005348517223165e-01
1.488757822006908871e+00,6.810855737316213743e-01
1.492452005494977252e+00,6.792992753938933426e-01
1.496146188983045411e+00,6.804982223751019355e-01
1.499840372471113792e+00,6.804171365904523316e-01
1.503534555959182173e+00,6.792842959752757315e-01
1.507228739447250554e+00,6.792363084694806874e-01
1.510922922935318935e+00,6.785399439175611169e-01
1.514617106423387316e+00,6.782341850597309874e-01
1.518311289911455697e+00,6.777700171401831453e-01
1.522005473399524078e+00,6.778348322602922860e-01
1.525699656887592459e+00,6.776386721746788799e-01
1.529393840375660840e+00,6.773368706108623405e-01
1.533088023863729221e+00,6.761122516114727032e-01
1.536782207351797602e+00,6.752865866088914037e-01
1.540476390839865983e+00,6.747275746917374972e-01
1.544170574327934364e+00,6.759010589410409109e-01
1.547864757816002745e+00,6.757354567246980359e-01
1.551558941304071126e+00,6.753634027537597229e-01
1.555253124792139507e+00,6.746694290959339702e-01
1.558947308280207888e+00,6.751600865796956175e-01
1.562641491768276270e+00,6.747121507771157711e-01
1.566335675256344651e+00,6.762129821973651422e-01
1.570029858744412810e+00,6.761568047864173758e-01
1.573724042232481191e+00,6.751090009235629630e-01
1.577418319536317393e+00,6.761206217379787109e-01
1.581112596840153595e+00,6.764984218508413027e-01
1.584806874143989797e+00,6.778131484315487176e-01
1.588501151447825999e+00,6.777035749358720773e-01
1.592195428751661979e+00,6.772036117127390176e-01
1.595889706055498181e+00,6.771381195347110360e-01
1.599583983359334383e+00,6.779409238394977777e-01
1.603278260663170585e+00,6.774136578067847525e-01
1.606972537967006787e+00,6.788284945950353588e-01
1.610666815270842767e+00,6.797315196838115137e-01
1.614361092574678969e+00,6.794866096572849123e-01
1.618055369878515171e+00,6.796059162502008366e-01
1.621749647182351373e+00,6.803426828401859527e-01
1.625443924486187353e+00,6.819159972342669906e-01
1.629138201790023555e+00,6.821635067793512253e-01
1.632832479093859757e+00,6.814882007564535549e-01
1.636526756397695959e+00,6.810173605035421129e-01
1.640221033701532161e+00,6.816774530542137889e-01
1.643915311005368141e+00,6.813412041008346520e-01
1.647609588309204343e+00,6.813560035698005279e-01
1.651303865613040545e+00,6.817453913516876574e-01
1.654998142916876747e+00,6.820802388746891598e-01
1.658692420220712949e+00,6.816858667462140087e-01
1.662386697524548929e+00,6.821857738323265918e-01
1.666080974828385131e+00,6.822779348628194018e-01
1.669775252132221333e+00,6.820324707883460569e-01
1.673469529436057535e+00,6.811360478800801976e-01
1.677163806739893737e+00,6.810195504141733913e-01
1.680858084043729717e+00,6.803917004197497231e-01
1.684552361347565919e+00,6.808047491908036930e-01
1.688246638651402121e+00,6.798140541844100992e-01
1.691940915955238323e+00,6.791585549015566325e-01
1.695635193259074303e+00,6.788257324868925968e-01
1.699329470562910505e+00,6.792108462463590790e-01
1.703023747866746707e+00,6.785199081503053842e-01
1.706718025170582909e+00,6.787046511853493946e-01
1.710412302474419111e+00,6.797403293198864827e-01
1.714106579778255091e+00,6.793311986946413139e-01
1.717800857082091293e+00,6.791449297524179141e-01
1.721495134385927495e+00,6.784521521537938415e-01
1.725189411689763697e+00,6.785689567410225775e-01
1.728883688993599899e+00,6.782589898151739627e-01
1.732577966297435879e+00,6.788812943181251613e-01
1.736272243601272081e+00,6.801242877972617507e-01
1.739966520905108283e+00,6.797226174074354477e-01
1.743660798208944485e+00,6.807759687598449183e-01
1.747355075512780465e+00,6.804760833434091438e-01
1.751049352816616667e+00,6.804743746226927792e-01
1.754743630120452869e+00,6.806695080503377682e-01
1.758437907424289071e+00,6.821636548073333195e-01
1.762132184728125273e+00,6.820628360343217178e-01
1.765826462031961253e+00,6.827152566301427639e-01
1.769520739335797455e+00,6.842128129055013996e-01
1.773215016639633657e+00,6.843982689661358698e-01
1.776909293943469859e+00,6.845213849984387311e-01
1.780603571247306061e+00,6.841971705646008317e-01
