NormT,magnus
1.167363858544960609e+00,2.086350453649018618e-05
1.171058042033028990e+00,2.085802166967674689e-05
1.174752225521097371e+00,2.108435933707123407e-05
1.178446409009165752e+00,2.106800835948280970e-05
1.182140592497234133e+00,2.112750665171482745e-05
1.185834775985302514e+00,2.103771142022062128e-05
1.189528959473370895e+00,2.101956023390294935e-05
1.193223142961439276e+00,2.099072651669426514e-05
1.196917326449507657e+00,2.084407109610620799e-05
1.200611509937575816e+00,2.089885589848082824e-05
1.204305693425644197e+00,2.087840760837678857e-05
1.207999876913712578e+00,2.070214321076431870e-05
1.211694060401780959e+00,2.081705744416610012e-05
1.215388243889849340e+00,2.078062607838321261e-05
1.219082427377917721e+00,2.071379353628258210e-05
1.222776610865986102e+00,2.062716070307781937e-05
1.226470794354054483e+00,2.068044411667316394e-05
1.230164977842122864e+00,2.060124666176058473e-05
1.233859161330191245e+00,2.058318184572393685e-05
1.237553344818259626e+00,2.050340813915545093e-05
1.241247528306328007e+00,2.043998190287516520e-05
1.244941711794396388e+00,2.037581266371781097e-05
1.248635895282464769e+00,2.053621025658952808e-05
1.252330078770533150e+00,2.067736806556059616e-05
1.256024262258601532e+00,2.067158714739357350e-05
1.259718445746669913e+00,2.072742290947295773e-05
1.263412629234738294e+00,2.073894346961200312e-05
1.267106812722806675e+00,2.079113369834066218e-05
1.270800996210875056e+00,2.082652309280184872e-05
1.274495179698943215e+00,2.075049039569624562e-05
1.278189363187011596e+00,2.083306326872555383e-05
1.281883546675079977e+00,2.076310982831532746e-05
1.285577730163148358e+00,2.069889104343896122e-05
1.289271913651216739e+00,2.075886344989068507e-05
1.292966097139285120e+00,2.089806453598881236e-05
1.296660280627353501e+00,2.106093268021114772e-05
1.300354464115421882e+00,2.099902139220512229e-05
1.304048647603490263e+00,2.111332125626015936e-05
1.307742831091558644e+00,2.116110420563433158e-05
1.311437014579627025e+00,2.115417572828665277e-05
1.315131198067695406e+00,2.098417101312124045e-05
1.318825381555763787e+00,2.098737047606871137e-05
1.322519565043832168e+00,2.094022744721727580e-05
1.326213748531900549e+00,2.078274813277239557e-05
1.329907932019968930e+00,2.090521457065164902e-05
1.333602115508037311e+00,2.081936540560934011e-05
1.337296298996105692e+00,2.079567890847526504e-05
1.340990482484174073e+00,2.078136172451858349e-05
1.344684665972242454e+00,2.083197656514859265e-05
1.348378849460310613e+00,2.084127879639173367e-05
1.352073032948378994e+00,2.073130747250672310e-05
1.355767216436447375e+00,2.066103612873440110e-05
1.359461399924515757e+00,2.073418686368160734e-05
1.363155583412584138e+00,2.057901004710020352e-05
1.366849766900652519e+00,2.055342176693807034e-05
1.370543950388720900e+00,2.055882844027566119e-05
1.374238133876789281e+00,2.053108011467778422e-05
1.377932317364857662e+00,2.051548859923875166e-05
1.381626500852926043e+00,2.051773194036605409e-05
1.385320684340994424e+00,2.061148880875398129e-05
1.389014867829062805e+00,2.066512491251731382e-05
1.392709051317131186e+00,2.075192886400592583e-05
1.396403234805199567e+00,2.074067758605856906e-05
1.400097418293267948e+00,2.075929537563427635e-05
1.403791601781336329e+00,2.083281205087718745e-05
1.407485785269404710e+00,2.084824804415335355e-05
1.411179968757473091e+00,2.088050736096437479e-05
1.414874152245541472e+00,2.092244121795327005e-05
1.418568335733609853e+00,2.095224564379645363e-05
1.422262519221678012e+00,2.082931512246900913e-05
1.425956702709746393e+00,2.074748770567031282e-05
1.429650886197814774e+00,2.077028583898334817e-05
1.433345069685883155e+00,2.073696281183542577e-05
1.437039253173951536e+00,2.086220299619696416e-05
1.440733436662019917e+00,2.075232258990623464e-05
1.444427620150088298e+00,2.078043814268000207e-05
1.448121803638156679e+00,2.080932515034139826e-05
1.451815987126225060e+00,2.084684538488015143e-05
1.455510170614293441e+00,2.075948787785052442e-05
1.459204354102361822e+00,2.085700605030792960e-05
1.462898537590430204e+00,2.068263954639323004e-05
1.466592721078498585e+00,2.057594243513483038e-05
1.470286904566566966e+00,2.048799995712722173e-05
1.473981088054635347e+00,2.048857937711607470e-05
1.477675271542703728e+00,2.056215590021941112e-05
1.481369455030772109e+00,2.060290744639540751e-05
1.485063638518840490e+00,2.065794441519608378e-05
1.488757822006908871e+00,2.069915742773725472e-05
1.492452005494977252e+00,2.066107171729121846e-05
1.496146188983045411e+00,2.067403896880128520e-05
1.499840372471113792e+00,2.084028059454326055e-05
1.503534555959182173e+00,2.102585159781555319e-05
1.507228739447250554e+00,2.108793407474919882e-05
1.510922922935318935e+00,2.113913917358978595e-05
1.514617106423387316e+00,2.122491246994224801e-05
1.518311289911455697e+00,2.114840736199634681e-05
1.522005473399524078e+00,2.110689179586839795e-05
1.525699656887592459e+00,2.099719274035601285e-05
1.529393840375660840e+00,2.091217292140918192e-05
1.533088023863729221e+00,2.091792373823698077e-05
1.536782207351797602e+00,2.093462688036627436e-05
1.540476390839865983e+00,2.085255214726680119e-05
1.544170574327934364e+00,2.087172687794866036e-05
1.547864757816002745e+00,2.102965655250115250e-05
1.551558941304071126e+00,2.102024919562516260e-05
1.555253124792139507e+00,2.106396711969788833e-05
1.558947308280207888e+00,2.097333186266828715e-05
1.562641491768276270e+00,2.081378541488671847e-05
1.566335675256344651e+00,2.084533274697908042e-05
1.570029858744412810e+00,2.072662533935322758e-05
1.573724042232481191e+00,2.061737661154891560e-05
1.577418319536317393e+00,2.062761215141352086e-05
1.581112596840153595e+00,2.058917328233763540e-05
1.584806874143989797e+00,2.075277778967757762e-05
1.588501151447825999e+00,2.072062070026521829e-05
1.592195428751661979e+00,2.082869337030444782e-05
1.595889706055498181e+00,2.074351226233790634e-05
1.599583983359334383e+00,2.075335746930592542e-05
1.603278260663170585e+00,2.058493544348927924e-05
1.606972537967006787e+00,2.059575460400437608e-05
1.610666815270842767e+00,2.071383896005113249e-05
1.614361092574678969e+00,2.072157104265403706e-05
1.618055369878515171e+00,2.077309925827649682e-05
1.621749647182351373e+00,2.073607224951553644e-05
1.625443924486187353e+00,2.079892753279569297e-05
1.629138201790023555e+00,2.072677140601836892e-05
1.632832479093859757e+00,2.085095963672045535e-05
1.636526756397695959e+00,2.086975528301847650e-05
1.640221033701532161e+00,2.103313332000090295e-05
1.643915311005368141e+00,2.103157305340219827e-05
1.647609588309204343e+00,2.101856500435819448e-05
1.651303865613040545e+00,2.105030246872036502e-05
1.654998142916876747e+00,2.114802406455213064e-05
1.658692420220712949e+00,2.104776741037066632e-05
1.662386697524548929e+00,2.106374015799650578e-05
1.666080974828385131e+00,2.105711171632388348e-05
1.669775252132221333e+00,2.099713736641765449e-05
1.673469529436057535e+00,2.101996867602766219e-05
1.677163806739893737e+00,2.098017934797237862e-05
1.680858084043729717e+00,2.100554166462557050e-05
1.684552361347565919e+00,2.091580828378592651e-05
1.688246638651402121e+00,2.095561187332310488e-05
1.691940915955238323e+00,2.081452897392159843e-05
1.695635193259074303e+00,2.075783004788399742e-05
1.699329470562910505e+00,2.082176352466657648e-05
1.703023747866746707e+00,2.079540996515975086e-05
1.706718025170582909e+00,2.080431651132072594e-05
1.710412302474419111e+00,2.083592534018623954e-05
1.714106579778255091e+00,2.078659570135732565e-05
1.717800857082091293e+00,2.070873375879540829e-05
1.721495134385927495e+00,2.063468751131013952e-05
1.725189411689763697e+00,2.063906474629812946e-05
1.728883688993599899e+00,2.057751998328324791e-05
1.732577966297435879e+00,2.057360071329006917e-05
1.736272243601272081e+00,2.064348510155815137e-05
1.739966520905108283e+00,2.065887495853393029e-05
1.743660798208944485e+00,2.062685559321787549e-05
1.747355075512780465e+00,2.065669021000766798e-05
1.751049352816616667e+00,2.071627515645601994e-05
1.754743630120452869e+00,2.077600868882462551e-05
1.758437907424289071e+00,2.076454084965146177e-05
