NormT,Faxen
1.026984885998362573e+00,4.486214683786071492e-06
1.030679069486430954e+00,4.494497276257695994e-06
1.034373252974499335e+00,4.497317864611957290e-06
1.038067436462567716e+00,4.493782007451430998e-06
1.041761619950636097e+00,4.464811509906442293e-06
1.045455803438704478e+00,4.489292128266252714e-06
1.049149986926772860e+00,4.496079601045468774e-06
1.052844170414841019e+00,4.500523667896251414e-06
1.056538353902909400e+00,4.498683103765668683e-06
1.060232537390977781e+00,4.526779196637276179e-06
1.063926720879046162e+00,4.524405055223524009e-06
1.067620904367114543e+00,4.500554017167893057e-06
1.071315087855182924e+00,4.516040147828685885e-06
1.075009271343251305e+00,4.540430349377887288e-06
1.078703454831319686e+00,4.541772449540468623e-06
1.082397638319388067e+00,4.523991198328408919e-06
1.086091821807456448e+00,4.500338050531650914e-06
1.089786005295524829e+00,4.489049677577165946e-06
1.093480188783593210e+00,4.505057513812684709e-06
1.097174372271661591e+00,4.531791535732118383e-06
1.100868555759729972e+00,4.545643216749114461e-06
1.104562739247798353e+00,4.535796080863413736e-06
1.108256922735866734e+00,4.550396453023308898e-06
1.111951106223935115e+00,4.561029660704879276e-06
1.115645289712003496e+00,4.548686713806414055e-06
1.119339473200071877e+00,4.567251421426355038e-06
1.123033656688140258e+00,4.586257728966681861e-06
1.126727840176208417e+00,4.605110092130390496e-06
1.130422023664276798e+00,4.606700347970982632e-06
1.134116207152345179e+00,4.606881197377489733e-06
1.137810390640413560e+00,4.599392973627645681e-06
1.141504574128481941e+00,4.587239118147700223e-06
1.145198757616550322e+00,4.597514376511098070e-06
1.148892941104618703e+00,4.593848248129022244e-06
1.152587124592687085e+00,4.607604985120795709e-06
1.156281308080755466e+00,4.605906971548490473e-06
1.159975491568823847e+00,4.602063121709809271e-06
1.163669675056892228e+00,4.598307528091499754e-06
1.167363858544960609e+00,4.583121783807848498e-06
1.171058042033028990e+00,4.573954678429181305e-06
1.174752225521097371e+00,4.572010934347131548e-06
1.178446409009165752e+00,4.580928161122307777e-06
1.182140592497234133e+00,4.591979142070173477e-06
1.185834775985302514e+00,4.587590025640924048e-06
1.189528959473370895e+00,4.582867844762804437e-06
1.193223142961439276e+00,4.565865439636944504e-06
1.196917326449507657e+00,4.568512279308822852e-06
1.200611509937575816e+00,4.560909433840626463e-06
1.204305693425644197e+00,4.554514801937056439e-06
1.207999876913712578e+00,4.540902998577042128e-06
1.211694060401780959e+00,4.548048826658377741e-06
1.215388243889849340e+00,4.525992565055404827e-06
1.219082427377917721e+00,4.527691999155730566e-06
1.222776610865986102e+00,4.519913063127463397e-06
1.226470794354054483e+00,4.528927330655001041e-06
1.230164977842122864e+00,4.520938163682300116e-06
